Invoice,Hold Date,Hold Code,Release Code,Release Reason,Status Flag
7804015,4/19/2017 16:38,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7804017,4/19/2017 16:38,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7804018,4/19/2017 16:38,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7804019,4/19/2017 16:38,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7804546,4/20/2017 1:15,AP RVW - QC,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7804548,4/20/2017 1:17,AP RVW - QC,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7804549,4/20/2017 1:19,AP RVW - QC,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7804551,4/20/2017 1:41,AP RVW - QC,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7804552,4/20/2017 1:48,AP RVW - QC,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7804553,4/20/2017 1:50,AP RVW - QC,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7804554,4/20/2017 1:53,AP RVW - QC,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7804555,4/20/2017 1:55,AP RVW - QC,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7804572,4/20/2017 3:58,AP RVW - QC,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7804571,4/20/2017 3:58,AP RVW - QC,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7804577,4/20/2017 4:06,AP RVW - QC,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7804580,4/20/2017 4:13,AP RVW - QC,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7804592,4/20/2017 4:29,Dept Approval Required,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7802685,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802693,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802697,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802710,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802713,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802716,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802720,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802723,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802729,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802712,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802715,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802719,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802728,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802732,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802734,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802735,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802737,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802738,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802741,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802742,4/19/2017 16:10,QTY REC,MATCHED,Passed matching condition,0
7802742,4/19/2017 16:10,MAX SHIP AMOUNT,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802744,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802746,4/19/2017 16:10,Dept Approval Required,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7802749,4/19/2017 16:10,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802752,4/19/2017 16:11,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802756,4/19/2017 16:11,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802759,4/19/2017 16:11,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802771,4/19/2017 16:11,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802775,4/19/2017 16:11,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802779,4/19/2017 16:11,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802817,4/19/2017 16:11,MAX SHIP AMOUNT,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802846,4/19/2017 16:12,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803081,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803085,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803087,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803088,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803095,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803096,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803099,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803101,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803102,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803103,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803106,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803141,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803141,4/19/2017 16:13,Research Tax Credit Varia,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7803150,4/19/2017 16:13,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803150,4/19/2017 16:13,Research Tax Credit Varia,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7802934,4/19/2017 16:15,QTY REC,MATCHED,Passed matching condition,0
7802934,4/19/2017 16:15,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802934,4/19/2017 16:15,Research Tax Credit Varia,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7802930,4/19/2017 16:15,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802956,4/19/2017 16:15,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7802959,4/19/2017 16:15,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803028,4/19/2017 16:16,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803028,4/19/2017 16:16,Research Tax Credit Varia,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7803033,4/19/2017 16:17,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803044,4/19/2017 16:17,LINE VARIANCE,VARIANCE CORRECTED,Invoice variance corrected,0
7803057,4/19/2017 16:17,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7804120,4/19/2017 12:54,LINE VARIANCE,VARIANCE CORRECTED,Invoice variance corrected,0
7803065,4/19/2017 16:17,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803072,4/19/2017 16:17,LINE VARIANCE,VARIANCE CORRECTED,Invoice variance corrected,0
7803289,4/19/2017 16:18,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803308,4/19/2017 16:18,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803310,4/19/2017 16:18,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803315,4/19/2017 16:18,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803348,4/19/2017 16:18,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803355,4/19/2017 16:19,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803356,4/19/2017 16:19,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803357,4/19/2017 16:19,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803358,4/19/2017 16:19,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803363,4/19/2017 16:19,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803365,4/19/2017 16:19,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803376,4/19/2017 16:19,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803378,4/19/2017 16:19,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803385,4/19/2017 16:19,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803387,4/19/2017 16:19,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803392,4/19/2017 16:19,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803395,4/19/2017 16:19,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803405,4/19/2017 16:20,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803330,4/19/2017 16:20,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803334,4/19/2017 16:20,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803339,4/19/2017 16:20,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803342,4/19/2017 16:20,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803345,4/19/2017 16:20,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803347,4/19/2017 16:20,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803169,4/19/2017 16:21,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803171,4/19/2017 16:21,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803172,4/19/2017 16:21,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803173,4/19/2017 16:21,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803174,4/19/2017 16:21,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803175,4/19/2017 16:21,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803176,4/19/2017 16:21,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803176,4/19/2017 16:21,Research Tax Credit Varia,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7803187,4/19/2017 16:21,QTY REC,MATCHED,Passed matching condition,0
7803188,4/19/2017 16:21,QTY REC,MATCHED,Passed matching condition,0
7803194,4/19/2017 16:21,QTY REC,MATCHED,Passed matching condition,0
7803212,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803213,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803217,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803217,4/19/2017 16:22,Dept Approval Required,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7803219,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803221,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803222,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803225,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803226,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803228,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803230,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803232,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803233,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803234,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803235,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803236,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803237,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803238,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803240,4/19/2017 16:22,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803244,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803246,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803247,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803248,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803249,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803251,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803252,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803255,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803258,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803261,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803263,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803265,4/19/2017 16:23,MAX SHIP AMOUNT,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803265,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803266,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803271,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803271,4/19/2017 16:23,Research Tax Credit Varia,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7803277,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803278,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803540,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803540,4/19/2017 16:23,Research Tax Credit Varia,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7803545,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803545,4/19/2017 16:23,Research Tax Credit Varia,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7803547,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803630,4/19/2017 16:23,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803637,4/19/2017 16:24,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803651,4/19/2017 16:24,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803653,4/19/2017 16:24,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803654,4/19/2017 16:24,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803656,4/19/2017 16:24,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803666,4/19/2017 16:24,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803550,4/19/2017 16:24,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803552,4/19/2017 16:24,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7803555,4/19/2017 16:24,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803560,4/19/2017 16:24,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803561,4/19/2017 16:24,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803562,4/19/2017 16:24,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803568,4/19/2017 16:24,MAX SHIP AMOUNT,MATCHED,Passed matching condition,0
7803571,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803573,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803580,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803581,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803582,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803589,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803590,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803594,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803594,4/19/2017 16:25,Research Tax Credit Varia,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7803597,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803604,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803606,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803613,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803623,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803627,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803412,4/19/2017 16:25,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803414,4/19/2017 16:26,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803421,4/19/2017 16:26,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803423,4/19/2017 16:27,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803424,4/19/2017 16:27,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803425,4/19/2017 16:27,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803437,4/19/2017 16:27,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803442,4/19/2017 16:27,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803444,4/19/2017 16:27,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803447,4/19/2017 16:27,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803449,4/19/2017 16:27,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803453,4/19/2017 16:27,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803459,4/19/2017 16:27,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803461,4/19/2017 16:27,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803465,4/19/2017 16:27,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803476,4/19/2017 16:28,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803506,4/19/2017 16:28,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803508,4/19/2017 16:29,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803509,4/19/2017 16:29,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803516,4/19/2017 16:29,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803516,4/19/2017 16:29,Research Tax Credit Varia,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,0
7803518,4/19/2017 16:29,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803520,4/19/2017 16:29,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803522,4/19/2017 16:29,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803525,4/19/2017 16:29,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803527,4/19/2017 16:29,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803531,4/19/2017 16:29,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
7803865,4/19/2017 16:29,TAX VARIANCE,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,1
