"Invoice","Invoice Date","Invoice Type","Pay Method","Payment Flag","Invoice Amount"
7802125,19-APR-17 07:05:08,"STANDARD","CHECK",1,157.5
7802124,19-APR-17 07:05:08,"STANDARD","CHECK",1,17.38
7802126,19-APR-17 07:05:10,"STANDARD","CHECK",1,304.5
7802127,19-APR-17 07:05:10,"STANDARD","EFT",1,188.74
7802128,19-APR-17 07:05:14,"STANDARD","EFT",1,261.8
7802129,19-APR-17 07:05:16,"STANDARD","EFT",1,989.78
7802131,19-APR-17 07:05:19,"STANDARD","EFT",1,1028.68
7802130,19-APR-17 07:05:19,"STANDARD","CHECK",1,47.7
7802132,19-APR-17 07:05:22,"STANDARD","EFT",1,2316.31
7802133,19-APR-17 07:05:24,"STANDARD","EFT",1,3461.18
7802134,19-APR-17 07:05:26,"STANDARD","CHECK",1,89.88
7802135,19-APR-17 07:05:27,"STANDARD","CHECK",1,50.05
7802136,19-APR-17 07:35:56,"STANDARD","CHECK",1,1386.21
7802137,19-APR-17 07:37:25,"STANDARD","CHECK",1,1489.6
7802138,19-APR-17 07:46:28,"STANDARD","CHECK",1,3469.12
7802139,19-APR-17 07:47:52,"STANDARD","CHECK",1,2385.17
7802140,19-APR-17 08:02:00,"STANDARD","CHECK",1,990.12
7802141,19-APR-17 08:02:28,"STANDARD","EFT",1,13212.37
7802142,19-APR-17 08:03:16,"STANDARD","CHECK",1,947.37
7802143,19-APR-17 08:04:31,"STANDARD","CHECK",1,1996.54
7802144,19-APR-17 08:05:38,"STANDARD","CHECK",1,1686.59
7802145,19-APR-17 08:09:44,"STANDARD","EFT",1,3840
7802146,19-APR-17 08:11:10,"STANDARD","CHECK",1,375
7802147,19-APR-17 08:29:26,"STANDARD","EFT",1,8902.5
7802148,19-APR-17 08:31:39,"STANDARD","CHECK",1,2516.97
7802149,19-APR-17 08:32:52,"STANDARD","CHECK",1,24250
7802192,19-APR-17 09:05:10,"EXPENSE REPORT","CHECK",1,42
7802193,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,35.1
7802194,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,720.41
7802195,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,804.92
7802196,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,299.86
7802197,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,223.57
7802198,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,10.5
7802212,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,15.99
7802215,19-APR-17 09:05:10,"EXPENSE REPORT","CHECK",1,400
7802216,19-APR-17 09:05:10,"EXPENSE REPORT","CHECK",1,45.29
7802217,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,135.8
7802218,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,932.74
7802219,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,61
7802220,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,497.02
7802221,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,675
7802222,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,953.64
7802224,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,1341.16
7802225,19-APR-17 09:05:10,"EXPENSE REPORT","CHECK",1,400
7802226,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,300
7802227,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,162.97
7802275,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,182.05
7802276,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,11
7802277,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,46.66
7802278,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,300
7802228,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,417.4
7802229,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,2800
7802230,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,110.67
7802231,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,131.5
7802239,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,656.4
7802240,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,30.33
7802241,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,270
7802242,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,664.98
7802243,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,335.34
7802244,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,443.4
7802245,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,912.17
7802246,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,1468
7802247,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,1837.47
7802248,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,21.9
7802249,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,25
7802250,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,44.83
7802251,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,27.02
7802252,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,43.93
7802253,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,686.82
7802254,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,58.5
7802255,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,144.1
7802256,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,47.42
7802257,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,165
7802258,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,47.4
7802259,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,68.67
7802260,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,22
7802261,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,46.01
7802262,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,721.09
7802263,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,42.67
7802264,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,86.29
7802265,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,649
7802266,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,207.53
7802267,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,1409.5
7802271,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,30.41
7802272,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,116.46
7802273,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,835.57
7802199,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,1298.64
7802200,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,25
7802201,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,94.2
7802204,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,2454.48
7802205,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,34.34
7802206,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,42
7802150,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,76.8
7802151,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,731
7802153,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,7316.9
7802154,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,181.36
7802155,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,90.23
7802156,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,1214.46
7802157,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,150
7802158,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,812.62
7802159,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,20
7802160,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,250.24
7802161,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,538.23
7802163,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,165
7802166,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,185.62
7802168,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,56.01
7802169,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,800
7802170,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,14.09
7802171,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,23.06
7802172,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,61.5
7802173,19-APR-17 09:05:10,"EXPENSE REPORT","CHECK",1,42.8
7802174,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,74.55
7802176,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,75
7802184,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,732.51
7802185,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,31.9
7802186,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,20
7802187,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,600
7802188,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,92.94
7802189,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,63.22
7802190,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,325.28
7802191,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,485.26
7802336,19-APR-17 09:05:10,"EXPENSE REPORT","CHECK",1,10
7802337,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,37.29
7802338,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,21.55
7802339,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,300
7802340,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,500
7802341,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,157.08
7802342,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,193.12
7802343,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,25
7802344,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,98
7802346,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,1310.64
7802347,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,16.64
7802348,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,85.6
7802349,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,105
7802284,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,20
7802285,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,51.96
7802286,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,40.88
7802287,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,676
7802290,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,95.57
7802292,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,800.62
7802293,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,125
7802294,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,1922.21
7802295,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,3410.79
7802296,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,92.34
7802297,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,324.02
7802298,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,600
7802299,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,125
7802300,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,155
7802301,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,187
7802302,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,2526.85
7802303,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,120
7802304,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,35.45
7802305,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,799.43
7802306,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,1170.86
7802307,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,89.62
7802308,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,25
7802309,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,68.64
7802310,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,26.4
7802311,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,25
7802312,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,15000
7802313,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,24.36
7802314,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,1997.19
7802316,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,1615.5
7802317,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,482.36
7802318,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,197.37
7802319,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,313.26
7802320,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,42.7
7802321,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,99
7802322,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,50.65
7802323,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,2498.06
7802324,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,181.75
7802325,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,53.09
7802327,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,141.54
7802328,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,675
7802329,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,787.35
7802330,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,1301.76
7802331,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,161.35
7802332,19-APR-17 09:05:10,"EXPENSE REPORT","EFT",1,29.21
7802350,19-APR-17 09:15:39,"STANDARD","CHECK",1,28.21
7802351,19-APR-17 09:15:39,"STANDARD","CHECK",1,533.8
7802352,19-APR-17 09:15:39,"STANDARD","CHECK",1,262.14
7802353,19-APR-17 09:15:39,"STANDARD","CHECK",1,296.48
7802354,19-APR-17 09:15:39,"STANDARD","CHECK",1,369.62
7802355,19-APR-17 09:15:39,"STANDARD","CHECK",1,400
7802356,19-APR-17 09:15:39,"STANDARD","CHECK",1,600
7802357,19-APR-17 09:15:39,"STANDARD","CHECK",1,272.87
7802358,19-APR-17 09:15:39,"STANDARD","CHECK",1,475.6
7802359,19-APR-17 09:15:39,"STANDARD","CHECK",1,207.3
7802365,19-APR-17 09:15:39,"STANDARD","CHECK",1,37.18
7802366,19-APR-17 09:15:39,"STANDARD","CHECK",1,1760.04
7802367,19-APR-17 09:15:39,"STANDARD","CHECK",1,348.92
7802368,19-APR-17 09:15:39,"STANDARD","CHECK",1,341.81
7802369,19-APR-17 09:15:39,"STANDARD","CHECK",1,88.78
7802370,19-APR-17 09:15:39,"STANDARD","CHECK",1,440.12
7802371,19-APR-17 09:15:39,"STANDARD","CHECK",1,890.8
7802372,19-APR-17 09:15:39,"STANDARD","CHECK",1,272.1
7802373,19-APR-17 09:15:39,"STANDARD","CHECK",1,761.61
7802374,19-APR-17 09:15:39,"STANDARD","CHECK",1,775.59
7802375,19-APR-17 09:15:39,"STANDARD","CHECK",1,94.89
7802376,19-APR-17 09:15:39,"STANDARD","WIRE",1,665.55
7802377,19-APR-17 09:15:39,"STANDARD","EFT",1,83.21
7802378,19-APR-17 09:15:39,"STANDARD","EFT",1,53.5
7802379,19-APR-17 09:15:39,"STANDARD","CHECK",1,36.38
7802380,19-APR-17 09:15:39,"STANDARD","CHECK",1,750.61
7802381,19-APR-17 09:15:39,"STANDARD","CHECK",1,1525.76
7802382,19-APR-17 09:15:39,"STANDARD","CHECK",1,369.15
7802383,19-APR-17 09:15:39,"STANDARD","CHECK",1,218.28
7802384,19-APR-17 09:15:39,"STANDARD","CHECK",1,535
7802385,19-APR-17 09:15:39,"STANDARD","CHECK",1,150.83
7802360,19-APR-17 09:15:39,"STANDARD","EFT",1,500
7802361,19-APR-17 09:15:39,"STANDARD","CHECK",1,500
7802362,19-APR-17 09:15:39,"STANDARD","EFT",1,500
7802363,19-APR-17 09:15:39,"STANDARD","CHECK",1,315.8
7802364,19-APR-17 09:15:39,"STANDARD","CHECK",1,366.2
7802420,19-APR-17 09:30:17,"STANDARD","CHECK",1,50
7802386,19-APR-17 09:30:17,"STANDARD","CHECK",1,38.95
7802387,19-APR-17 09:30:17,"STANDARD","EFT",1,216.73
7802388,19-APR-17 09:30:17,"STANDARD","EFT",1,391.09
7802389,19-APR-17 09:30:17,"STANDARD","EFT",1,15000
7802390,19-APR-17 09:30:17,"STANDARD","CHECK",1,420
7802391,19-APR-17 09:30:17,"STANDARD","EFT",1,2050
7802392,19-APR-17 09:30:17,"STANDARD","EFT",1,2795.6
7802393,19-APR-17 09:30:17,"STANDARD","CHECK",1,562.5
7802394,19-APR-17 09:30:17,"STANDARD","CHECK",1,1000
7802395,19-APR-17 09:30:17,"STANDARD","CHECK",1,50
7802396,19-APR-17 09:30:17,"STANDARD","EFT",1,1250
7802421,19-APR-17 09:30:17,"STANDARD","CHECK",1,50
7802397,19-APR-17 09:30:17,"STANDARD","CHECK",1,1250
7802398,19-APR-17 09:30:17,"STANDARD","CHECK",1,1232.4
7802399,19-APR-17 09:30:17,"STANDARD","CHECK",1,95.33
7802400,19-APR-17 09:30:17,"STANDARD","CHECK",1,1232.34
7802401,19-APR-17 09:30:17,"STANDARD","CHECK",1,594.05
7802402,19-APR-17 09:30:17,"STANDARD","CHECK",1,487.35
7802403,19-APR-17 09:30:17,"STANDARD","CHECK",1,1000
7802404,19-APR-17 09:30:17,"STANDARD","CHECK",1,857.4
7802405,19-APR-17 09:30:17,"STANDARD","CHECK",1,1885
7802407,19-APR-17 09:30:17,"STANDARD","CHECK",1,50
7802408,19-APR-17 09:30:17,"STANDARD","EFT",1,188.6
7802409,19-APR-17 09:30:17,"STANDARD","CHECK",1,40000
7802410,19-APR-17 09:30:17,"STANDARD","CHECK",1,450
7802411,19-APR-17 09:30:17,"STANDARD","EFT",1,25
7802412,19-APR-17 09:30:17,"STANDARD","EFT",1,25
7802413,19-APR-17 09:30:17,"STANDARD","EFT",1,25
7802414,19-APR-17 09:30:17,"STANDARD","EFT",1,25
7802415,19-APR-17 09:30:17,"STANDARD","EFT",1,25
7802417,19-APR-17 09:30:17,"STANDARD","EFT",1,50
7802418,19-APR-17 09:30:17,"STANDARD","EFT",1,60
7802419,19-APR-17 09:30:17,"STANDARD","EFT",1,60
7802448,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,2700.73
7802449,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,1219.06
7802450,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,300
7802451,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,588.7
7802452,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,198.61
7802454,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,291.72
7802427,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,114.3
7802428,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,313
7802429,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,332.2
7802430,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,99
7802432,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,6786.33
7802505,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,264.69
7802507,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,139.72
7802508,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,89.28
7802510,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,152.96
7802511,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,29.98
7802512,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,31.44
7802513,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,69.5
7802514,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,25
7802525,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,17.8
7802527,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,126.09
7802528,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,1534.76
7802529,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,2627.01
7802530,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,70.53
7802531,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,40
7802532,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,82.07
7802533,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,250.38
7802534,19-APR-17 11:18:13,"EXPENSE REPORT","CHECK",1,300
7802536,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,56.42
7802537,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,20
7802539,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,36.99
7802540,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,70.58
7802541,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,62.75
7802542,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,234.11
7802544,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,1231.59
7802545,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,924.01
7802546,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,596.75
7802547,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,41.25
7802548,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,240
7802549,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,2447.94
7802550,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,61.53
7802551,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,42.51
7802515,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,93.2
7802516,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,503.07
7802517,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,1850.2
7802518,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,2436.03
7802519,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,500
7802520,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,1448.91
7802521,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,64.4
7802522,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,2632.74
7802524,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,65.99
7802455,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,76.58
7802456,19-APR-17 11:18:13,"EXPENSE REPORT","EFT",1,117.68
